"","f_zip","num_facilities","county","region","zip_CMS_overall_rating","zip_CMP_count","zip_DPNA_count","zip_N2009_Abuse","zip_N2009_Admin","zip_N2009_Care","zip_N2009_Environ","zip_N2009_Nutri","zip_N2009_Rights","zip_N2009_Staff","zip_N2009_Total","zip_N2010_Abuse","zip_N2010_Admin","zip_N2010_Care","zip_N2010_Environ","zip_N2010_Nutri","zip_N2010_Rights","zip_N2010_Staff","zip_N2010_Total","zip_N2011_Abuse","zip_N2011_Admin","zip_N2011_Care","zip_N2011_Environ","zip_N2011_Nutri","zip_N2011_Rights","zip_N2011_Staff","zip_N2011_Total","zip_N2012_Abuse","zip_N2012_Admin","zip_N2012_Care","zip_N2012_Environ","zip_N2012_Nutri","zip_N2012_Rights","zip_N2012_Staff","zip_N2012_Total","zip_N2013_Abuse","zip_N2013_Admin","zip_N2013_Care","zip_N2013_Environ","zip_N2013_Nutri","zip_N2013_Rights","zip_N2013_Staff","zip_N2013_Total","zip_PCT_ADMIN","zip_PCT_CAPITAL","zip_PCT_DIRECT","zip_PCT_OCARE","zip_abuse_current","zip_abuse_previous","zip_abuse_prior","zip_abuse_tot","zip_activities_of_daily_living","zip_admin_current","zip_admin_previous","zip_admin_prior","zip_admin_tot","zip_afam","zip_aid_hprd","zip_all_current","zip_all_previous","zip_all_prior","zip_all_tot","zip_asan","zip_benefits","zip_catheter","zip_caucasn","zip_class_AA_count","zip_class_A_count","zip_class_B_count","zip_depeat","zip_depsum","zip_deptoil","zip_deptran","zip_env_current","zip_env_previous","zip_env_prior","zip_env_tot","zip_ex_total","zip_fall","zip_federal_penalty_amount","zip_high_risk_pressure_sores","zip_hispan","zip_less45","zip_long_antipsychotic","zip_long_stay_pain","zip_ls_current","zip_ls_previous","zip_ls_prior","zip_ls_tot","zip_lvn_hprd","zip_nativ","zip_net_income_03","zip_net_income_04","zip_net_income_05","zip_net_income_06","zip_net_income_07","zip_net_income_08","zip_net_income_09","zip_net_income_10","zip_net_income_11","zip_net_income_current","zip_netincomemargin_03","zip_netincomemargin_04","zip_netincomemargin_05","zip_netincomemargin_06","zip_netincomemargin_07","zip_netincomemargin_08","zip_netincomemargin_09","zip_netincomemargin_10","zip_netincomemargin_11","zip_netincomemargin_current","zip_nhoverall_rating","zip_numbeds","zip_nursing_turnover","zip_nut_current","zip_nut_previous","zip_nut_prior","zip_nut_tot","zip_occup_rate","zip_othrace","zip_over85","zip_pct_behv","zip_pct_exsp","zip_pct_imp","zip_pct_mcal","zip_pct_mcare","zip_pct_other","zip_pct_phys","zip_pct_reh","zip_pct_self","zip_pctfem","zip_pctmale","zip_pharm_current","zip_pharm_previous","zip_pharm_prior","zip_pharm_tot","zip_pt_hprd","zip_qc_current","zip_qc_previous","zip_qc_prior","zip_qc_rating","zip_qc_tot","zip_qualityoffacility_rating","zip_ra_current","zip_ra_previous","zip_ra_prior","zip_ra_tot","zip_restraints","zip_rev_mcal","zip_rev_mcare","zip_rev_other","zip_rev_self","zip_rr_current","zip_rr_previous","zip_rr_prior","zip_rr_tot","zip_short_antipsychotic","zip_short_stay_pain","zip_short_stay_pressure_sores","zip_srn_hprd","zip_staffingrating","zip_state_penalty_amount","zip_tot_hprd","zip_total_abuse","zip_total_admin","zip_total_care","zip_total_environ","zip_total_nutri","zip_total_rights","zip_total_staff","zip_total_total","zip_urinary_tract_infection","zip_wph_admin","zip_wph_aide","zip_wph_lic","zip_yr45to64","zip_yr65to84","zip_cmswatchlist","zip_accred","zip_campaignexcellence","zip_aids","zip_alzheimers","zip_chain_facs","zip_num_freestanding","zip_num_hospital","zip_hospice","zip_icf","zip_mcare_days_high","zip_mcare_days_low","zip_mental_health","zip_has_mlrc","zip_for_profit","zip_non_profit","zip_govt_owned","zip_mcal_payment","zip_mcare_payment","zip_private_pay","zip_residential","zip_rehabilitation","zip_substance_abuse","zip_ventilator","zippop","sd1_district","sd1_pct","sd1_num","sd2_district","sd2_pct","sd2_num","sd3_district","sd3_pct","sd3_num","ad1_district","ad1_pct","ad1_num","ad2_district","ad2_pct","ad2_num","ad3_district","ad3_pct","ad3_num","ad4_district","ad4_pct","ad4_num","ad5_district","ad5_pct","ad5_num","cd1_district","cd1_pct","cd1_num","cd2_district","cd2_pct","cd2_num","cd3_district","cd3_pct","cd3_num","cd4_district","cd4_pct","cd4_num","justzip","num_beds","num_emtpy_beds","total_beds","num_empty_beds"
"280","92831
(33.881392022000455, -117.89174931699972)",1,"Orange","Orange",2,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,7,0,0,0,0,7,18.6,13.9,55.2,12.3,0,1,1,2,4.8,1,2,1,4,3,2.3,14,33,26,73,2,4.9,5.8,67,0,0,1,13,20,28,20,2,0,2,4,265.6,1.4,0,5.5,28,0,22.2,2.7,4,8,5,17,0.6,0,-123949,97358,54547,-101262,-723796,-700235,-308005,22763,231178,-275673,-2.8,1.9,0.9,-1.6,-12.1,-10.4,-4.1,0.3,2.5,-3.2,2,99,28.7,0,3,4,7,93,28,42,0,42.4,0,70,13.9,11.2,30.3,27.3,4.9,67,33,1,2,3,6,0.2,5,11,6,4,22,2,0,1,1,2,1.4,186.5,619.4,276.1,207.6,1,5,3,9,1.3,7.9,1.1,0.6,3,2000,3.5,0,3,10,0,0,0,0,13,4.3,56.4,11.7,29.2,18,40,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,18424,29,"100%",18424,NA,"",NA,NA,"",NA,65,"100%",18424,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,39,"100%",18424,NA,"",NA,NA,"",NA,NA,"",NA,"92831",6.93,6.93,99,6.93
"281","92832
(33.86714040400045, -117.92859930899971)",1,"Orange","Orange",3,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,0,4,22.2,9.6,56.6,11.6,1,1,0,2,7.7,2,1,2,5,1,2.5,17,19,25,61,8,5.8,2.9,76,0,0,0,21,38,54,38,1,1,2,4,308.6,1.6,0,5.6,15,2,17.2,3.3,3,8,5,16,1,0,-302674,230548,214034,-351786,-117467,-290582,-303720,33474,491944,62226,-7.7,4.7,9.8,-5.9,-1.8,-3.7,-3.4,0.4,5.1,0.6,4,99,16,0,0,4,4,87,15,33,0,31.8,0,69.2,20.7,7.4,28.4,39.8,2.7,73,27,2,3,2,7,0.2,5,5,7,5,17,3,1,0,1,2,1.6,187.3,707.3,341.9,215.7,2,0,2,4,1.1,23.9,0.7,0.5,3,0,4.1,1,4,2,0,0,0,0,7,3.2,68.4,11.5,26.5,13,52,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,11950,29,"100%",11950,NA,"",NA,NA,"",NA,65,"100%",11950,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,39,"100%",11950,NA,"",NA,NA,"",NA,NA,"",NA,"92832",12.87,12.87,99,12.87
"282","92835
(33.901022756000486, -117.91361772899972)",5,"Orange","Orange",3.2,1.4,0.2,0.2,0,1.8,0,0,0,0,2,0,0,1.2,0,0,0,0,1.2,0,0.2,0,0,0,0,0,0.2,1,1.2,1.6,0.2,0,0,0,4,0,0.8,2.2,0,0,0.6,0,3.6,23,9.6,53.3,14.1,1,1.4,0.4,2.8,20.2,1.6,1.4,2.2,5.2,0,2.6,16.4,17,24.4,57.8,32.7,4.5,5.6,51,0,0.2,0.8,12.4,16.8,21,17.4,0,0.4,0.6,1,323.1,0.7,21107,7,3.3,0.7,14,4.1,4.6,3.2,3.8,11.6,1,0,-180886.8,48974.6,244818.2,407343.2,750866.2,630753.8,1141912.2,678522,642417.6,233824.2,-3.2,1.4,3.6,5.9,10.1,8.1,13,7.6,6.4,1.9,2.6,108.8,41.4,0.4,0.6,2.2,3.2,81,16.3,60,0,26.2,5.5,46.6,29.7,8.4,39.2,29.1,15.3,75.7,24.3,1,2,2.2,5.2,0.2,5.8,5.2,8.4,4.4,19.4,2.4,0.4,1,1.4,2.8,3,188.6,594.1,300.2,278.3,1.6,1.8,3.2,6.6,0.7,9.5,1.1,0.5,2.4,2950,4.1,1.2,2.2,6.8,0.2,0,0.6,0,11,9.9,60.1,12.1,29,1.7,37.7,0,0,2,0,1,4,5,0,0,0,3,2,0,0,5,0,0,4,5,0,1,0,0,0,16153,29,"100%",16153,NA,"",NA,NA,"",NA,65,"100%",16153,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,39,"100%",16153,NA,"",NA,NA,"",NA,NA,"",NA,"92835",103.36,103.36,544,103.36
"283","92840
(33.78550209600047, -117.93168860799972)",2,"Orange","Orange",3,0,0,0,0,1,0,0,0,0,1,0,0,2.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5,1,0.5,0,0,0,0,2,19.7,7.7,60.7,11.9,1,1.5,0.5,3,7.8,2,1,0.5,3.5,1.5,2.5,20.5,16,22.5,59,53,5,5.4,29,0,0,0,52,59,72,53,0,1.5,0.5,2,299.1,1.2,0,7.8,17,7.5,9.8,0,6,3,6.5,15.5,1.3,0,-154027,165942,120656,48390.5,420417.5,178167,116073.5,222839,410738.5,246128,-3,2.4,1.9,0.1,4.5,1.9,1.2,2.1,3.8,2.2,4.5,111.5,19.2,0.5,1.5,1,3,92.5,16.5,31.5,0,68.2,1,83.2,12.6,4.1,14.9,16,0.1,56,44,2.5,1,1.5,5,0.1,6.5,4,8.5,5,19,2.5,1,1,0.5,2.5,3.6,241.3,662.6,409.1,478.9,1,1.5,3,5.5,0.9,9.6,0.6,0.7,4,0,4.5,1.5,1,4,0,0,0,0,6.5,6,55.8,12.1,28.4,24,37,0,0,0,0,0,1,2,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,2,1,24871,34,"100%",24871,NA,"",NA,NA,"",NA,72,"68.6%",17070,69,"31.4%",7801,NA,"",NA,NA,"",NA,NA,"",NA,46,"54.9%",13663,47,"45.1%",11208,NA,"",NA,NA,"",NA,"92840",16.725,16.725,223,16.725
"284","92841
(33.78596266700049, -117.97861901199968)",1,"Orange","Orange",5,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8,7.4,54.1,13.7,1,0,2,3,22.6,1,0,4,5,0,2.5,12,8,35,55,89,4.4,1.3,10,0,0,0,38,41,48,37,1,0,4,5,199.7,1.1,0,0,1,0,17.2,4,3,3,3,9,0.9,0,204789,329871,13037,546481,-8681,380634,644400,-59189,342131,-437823,3.8,5.6,0.2,8.6,-0.1,5.7,9.3,-0.9,4.6,-6.7,5,99,40.8,0,0,3,3,93,1,36,0,48.8,3.5,81.7,10.3,7.7,25.6,22.1,0.3,65,35,1,0,3,4,0.1,4,3,8,5,15,4,1,0,2,3,2.1,148.5,564.6,188.8,179.3,0,2,6,8,0,7.7,0,0.4,2,0,3.7,1,0,2,0,0,0,0,3,4.9,61.7,11.8,28,3,61,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,15618,34,"90.5%",14137,29,"9.5%",1481,NA,"",NA,72,"89.1%",13915,65,"10.9%",1703,NA,"",NA,NA,"",NA,NA,"",NA,47,"100%",15618,NA,"",NA,NA,"",NA,NA,"",NA,"92841",6.93,6.93,99,6.93
"285","92843
(33.76467213900048, -117.93206662299968)",3,"Orange","Orange",3.3,1,0,0,0,0.7,0,0,0,0,0.7,0,0,0.7,0,0,0,0,0.7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0.3,0,0,0,0,1.3,23.9,8,55.2,12.9,0.3,1,0.7,2,8.2,1.3,0.3,2,3.7,1.3,2.5,13,15,22.7,50.7,62,5.6,3.6,28.3,0,0,0,29.3,30.3,30.7,30.7,0,0.7,1.3,2,283.8,1.1,42255,3.3,12,2.3,14.9,4.5,3.7,5,4.3,13,1,0,287487.3,23909,361846,516307.3,948174.5,757075.7,995530.3,807208,1162558.3,290853.3,2.6,-0.2,5.4,6.9,-12.5,8.3,10.9,8,8.7,3.1,3,108.3,22.1,1.7,2,1.7,5.3,88.7,8.3,40,0,41.4,0,71.4,18.7,6.6,37,21.5,3.3,64.3,35.7,2,1,2,5,0.1,3.7,3.3,6.7,5,13.7,2.3,0.3,0,1,1.3,0.4,208.4,627.4,287.8,242.3,0,1.7,3,4.7,2.3,5.9,0.5,0.6,3,0,4,2,0,2.7,0,0,0,0,4.7,6.4,59.3,12.5,28.4,10,47.7,0,1,2,0,1,2,3,0,0,0,0,3,0,0,3,0,0,3,3,0,0,0,1,1,18537,34,"100%",18537,NA,"",NA,NA,"",NA,72,"68.7%",12740,69,"31.3%",5797,NA,"",NA,NA,"",NA,NA,"",NA,48,"36.5%",6768,47,"34.9%",6477,46,"28.5%",5292,NA,"",NA,"92843",36.7137,36.7137,324.9,36.7137
"286","92866
(33.78424204400045, -117.84611806899971)",1,"Orange","Orange",5,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,0,1,1,2,NA,NA,8,12,7,27,NA,NA,NA,NA,0,0,0,86,83,100,64,0,2,0,2,NA,NA,0,NA,NA,NA,NA,NA,2,3,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,1,3,4,3,4,10,4,1,1,1,3,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,0,NA,NA,0,NA,0,0,3,0,0,0,0,3,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,8355,37,"100%",8355,NA,"",NA,NA,"",NA,68,"100%",8355,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,46,"100%",8355,NA,"",NA,NA,"",NA,NA,"",NA,"92866",NA,NA,21,NA
"287","92868
(33.786001772000475, -117.8759986719997)",2,"Orange","Orange",1,0,0,0,1,4,0,0,0,0,5,0,0,1.5,0.5,0,0,0,2,0,0,0,0,0,0,0,0,5.5,0.5,8,2,0,2,0,18,3,2.5,12,0,0,0.5,0,18,22.8,10.5,54.7,11.9,2,0.5,1,3.5,11.6,3.5,2.5,1.5,7.5,2,2.1,35,30.5,31,96.5,7.5,5.3,5,54.5,0,0,2.5,19,28,36,28.5,1,0.5,0.5,2,297.8,1.4,0,10.2,15.5,7,14.7,6.1,5,5.5,7,17.5,0.9,0,-627990,69742.5,-171982.5,-206227,-241870,-124656.5,544681,298501.5,438253,367935,15.3,-3.9,-7.5,-5.4,-3.9,-2.7,-18.3,3.7,4.1,3.2,1,135.5,24.9,2.5,2.5,2,7,84,36,22.5,0,31.7,0.7,55.5,18.7,23.7,40.9,26.9,2.2,60,40,2.5,1,2.5,6,0.1,10.5,12,12,3,34.5,1,3.5,1.5,1,6,3.4,190.5,641.1,313.6,436.4,4.5,4.5,3.5,12.5,3.1,24.7,0.9,0.4,1.5,2350,3.5,8.5,4,25.5,2.5,0,2.5,0,43,7.1,50.3,14.3,29.1,28,42.5,0,0,1,0,0,1,2,0,0,0,1,1,0,0,2,0,0,2,2,0,0,0,0,0,9895,37,"70.6%",6990,34,"29.4%",2905,NA,"",NA,68,"70.6%",6990,69,"29.4%",2905,NA,"",NA,NA,"",NA,NA,"",NA,46,"100%",9895,NA,"",NA,NA,"",NA,NA,"",NA,"92868",43.36,43.36,271,43.36
"288","92869
(33.79196311900046, -117.79896606899968)",2,"Orange","Orange",3,0,0,0,0.5,4,0,0,0,0,4.5,0,0,1.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1,0.5,1,0,0,0,0,2.5,0,0,7,0,0,0,0,7,20.5,10.2,58.6,10.7,0.5,1,0.5,2,NA,1.5,1.5,1,4,0,3.3,25,24.5,20,69.5,2.5,8.2,14.1,58,0,0,1,71,73.5,75,75,1,1,1.5,3.5,437,0,0,19.2,22,21.5,9.5,NA,4.5,7.5,3.5,15.5,3,11,534378.5,-2310657,-3481990.5,-2978346,-3206136,-2300950,-815189.5,-2432624.5,-765854.5,1453756,4,-4.1,-8.6,-6.7,-7.6,-4.7,0.7,-3.5,0.5,7,3,86,40.1,0,0.5,0.5,1,85.5,28.5,16,0,63.9,0,71.7,3.8,22.7,18.4,17.8,3.5,51.5,48.5,3,3,2,8,0.1,11,4.5,7,3.5,22.5,2,1,2,0.5,3.5,6.3,805,908.5,848.1,542.1,2.5,3.5,3.5,9.5,0.4,16.3,1,1,4.5,1000,7.3,1,1,13.5,0,0,0,0,15.5,0,56,14.5,27.6,24,38.5,0,0,1,0,0,0,1,1,0,0,0,2,0,0,2,0,0,2,2,0,0,0,1,2,21508,37,"100%",21508,NA,"",NA,NA,"",NA,68,"100%",21508,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,45,"100%",21506,46,"0%",2,NA,"",NA,NA,"",NA,"92869",24.94,24.94,172,24.94
"289","92879
(33.88023190600046, -117.5384699549997)",2,"Riverside","Midcoast, Central & Inland",2.5,0,0,0,1,1,0.5,0,0,0,2.5,0.5,1.5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2.5,0,0,1,0,5.5,5,1,2,0,0,0,0,8,33.3,9.8,44,12.9,2,0,0.5,2.5,13.5,2,0.5,0.5,3,14.5,2.1,25,11.5,16.5,53,12,6.5,6.3,41,0,0,0,53,55,56.5,55.5,1,0,1,2,283.6,1.3,0,5.3,35,5.5,33.3,7.6,4,4,5,13,0.8,0,3002824,3270742,-3544563.5,-4917992,-3802986.5,-2778027.5,-4806927.5,-2870717.5,-2837922.5,510931,4.5,6.8,0.7,-3.3,-10.6,-3.9,-7.9,-5,-1,5.3,3,69.5,8.1,3,1.5,1,5.5,87.5,32.5,21,0,61.1,2.6,76.8,19.2,3.2,24.8,11.6,1.6,61,39,1.5,1.5,1,4,0.1,7,2,6,3.5,15,2.5,2.5,0.5,0,3,1.3,540.4,717.6,560.2,NA,2,1.5,1.5,5,0,7.9,0,0.5,3,0,3.4,7.5,3.5,6.5,0.5,0,1,0,19,5.1,50.5,12.2,28.3,35.5,38,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,0,0,2,2,0,0,0,0,0,15786,31,"99.7%",15741,28,"0.3%",45,NA,"",NA,60,"99.7%",15741,67,"0.3%",45,NA,"",NA,NA,"",NA,NA,"",NA,42,"100%",15786,NA,"",NA,NA,"",NA,NA,"",NA,"92879",17.375,17.375,139,17.375
"290","92882
(33.866280093000455, -117.5921959479997)",1,"Riverside","Midcoast, Central & Inland",1,0,0,6,1,2,0,0,2,0,11,1,1,4,0,1,0,0,7,1,0,0,0,0,0,0,1,2,4,1,1,0,0,0,8,3,2,2,0,0,0,0,7,23.4,11.7,51.4,13.4,1,0,0,1,19.6,3,0,2,5,NA,2.1,37,37,29,103,NA,4.5,6.5,NA,0,0,6,15,22,28,24,2,1,2,5,248.6,0,0,11.9,NA,NA,11.3,3.5,6,16,8,30,0.9,NA,NA,543972,183120,902497,637818,-169023,755675,-984181,-440282,675005,NA,5.3,1.7,7.7,5.1,-0.8,5.8,-7.6,-3.6,4.9,1,176,117.2,7,4,5,16,85,NA,NA,0,38.9,3.7,71.8,13.4,11.6,37,20.4,3.2,NA,NA,4,3,2,9,0.2,10,7,6,4,23,1,0,2,1,3,0.8,175.9,359.5,624.3,205.4,4,4,3,11,2.2,6.4,0.3,0.4,1,6000,3.4,13,8,9,1,1,2,0,34,4.9,47.6,11.7,25.6,NA,NA,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,25080,31,"100%",25080,NA,"",NA,NA,"",NA,60,"100%",25080,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,42,"100%",25080,NA,"",NA,NA,"",NA,NA,"",NA,"92882",26.4,26.4,176,26.4
"291","92886
(33.88992126800048, -117.8068957049997)",1,"Orange","Orange",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,1,0,5,0,0,6,11.8,19.7,59.9,8.7,1,0,0,1,NA,3,2,0,5,0,2.5,18,20,23,61,8,6.7,NA,92,4,0,4,19,24,28,25,0,0,2,2,436.3,NA,0,NA,0,0,NA,NA,4,7,4,15,1,0,721505,812368,105257,-389048,1865750,1484716,1944208,1243520,1049,-997503,22.4,26,2.7,-11.1,38.2,29,29.7,21,0,-15.4,1,45,57.4,3,2,1,6,87,0,53,0,17.2,0,0,45.7,24.9,37.9,44.8,29.4,71,29,2,0,2,4,0.4,5,8,10,4,23,1,0,0,1,1,NA,NA,621.8,370.3,256.5,0,1,3,4,1.4,20.6,0.6,0.9,3,363750,4.4,3,0,3,0,5,0,0,11,NA,43.7,13.3,31.5,0,47,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,31132,29,"100%",31132,NA,"",NA,NA,"",NA,55,"100%",31132,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,39,"100%",31132,NA,"",NA,NA,"",NA,NA,"",NA,"92886",5.85,5.85,45,5.85
"292","93003
(34.26679401000047, -119.22540964999968)",3,"Ventura","Santa Barbara/Ventura",4.3,0,0,0,0,1,0,0,0,0,1,0.3,0,1,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1.3,0,0,0,0,1.7,0,3,26.2,6.7,52,15.1,1,1,0.7,2.7,17.9,0.3,1,0,1.3,0.3,2.5,13,16.7,15,44.7,1.3,4.7,3.7,94.3,0,0,0.7,7,9.7,12.3,11,1,0.3,0.3,1.7,291.7,2,0,6.6,9,0,8.2,1.8,4.7,6.7,6.7,18,0.8,0,-278976,178640.3,325454.3,56581.3,-627552.7,-92092.7,-71227,49546.7,186777.7,189677.3,-2.9,1,3.7,-1.7,-6.8,-1.9,0.4,-0.3,1.8,0.9,4,118.3,126.1,0.7,1.3,0.3,2.3,72.7,4,55,0,23.2,1.2,42.2,19,14.8,42,33.7,24.1,71.3,28.7,1,1,1.3,3.3,0.2,2.3,3.7,2.7,4.3,8.7,3.3,1,0.7,1,2.7,0,195.5,573.9,413.3,244.8,1,1,2,4,1.9,15.2,0.6,0.6,3,433.3,3.9,1.7,0,4,0,0,1.7,0,7.3,2.8,55.8,12.7,29.5,6.7,38.3,0,0,1,0,0,1,3,0,0,0,0,3,0,0,3,0,0,2,3,0,0,0,0,0,29469,19,"100%",29469,NA,"",NA,NA,"",NA,37,"100%",29469,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,26,"98.4%",28997,24,"1.6%",472,NA,"",NA,NA,"",NA,"93003",96.8877,96.8877,354.9,96.8877
"293","93010
(34.22892294200045, -119.05144866499973)",2,"Ventura","Santa Barbara/Ventura",5,0,0,1.5,0.5,1.5,0,0,0,0,3.5,1,0,2.5,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,4.5,0,1,2,1,0,0.5,0,4.5,25.5,8.2,54.7,11.6,0,0.5,0,0.5,5.5,0.5,0.5,0,1,1,3,10,10.5,8,28.5,3.5,8.6,20,79,0,1,0,48.5,49.5,48.5,50,0.5,1,1,2.5,254.6,0,0,11,12.5,8,8,3.3,5,5,4,14,2.1,0,2846337,280329,-2434115,2715987,3040911.5,287099,44256,3415423,-1374993.5,1071014,2.8,-0.9,2.4,5.5,6.7,5.3,3.2,8.4,2.5,9.5,4.5,106.5,35.8,0.5,0,0,0.5,60,16.5,24.5,0,56.2,0.5,71.5,15.6,10.1,23,20.4,5.6,62,38,1,0.5,0.5,2,0.2,1.5,1.5,2,4.5,5,4,0.5,0,0,0.5,4.6,1024.4,1305.9,1096.9,217.5,0.5,1.5,0.5,2.5,0,4.9,0,1.3,4,8500,6.4,2.5,1.5,10.5,1,0,0.5,0,16,1.7,74.6,16.3,33.4,9.5,58,0,0,0,0,0,2,1,1,0,0,0,2,0,0,1,1,0,2,2,0,0,0,1,0,24983,19,"100%",24983,NA,"",NA,NA,"",NA,44,"96.9%",24197,37,"3.1%",786,NA,"",NA,NA,"",NA,NA,"",NA,26,"100%",24983,NA,"",NA,NA,"",NA,NA,"",NA,"93010",85.2,85.2,213,85.2
"294","93012
(34.22196224300046, -118.99052734299971)",1,"Ventura","Santa Barbara/Ventura",5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,17.6,15.4,55.1,11.8,0,0,0,0,NA,0,0,0,0,0,3,6,0,0,6,0,6.2,NA,100,0,0,0,8,13,18,13,0,0,0,0,334.3,NA,0,NA,0,0,NA,NA,3,0,0,3,1.2,0,-233347,-73530,-230453,1285241,1568945,191128,-446641,-42008,-2196848,-1545771,-9,-3,-8.5,36.1,38.7,11.3,-32.4,-2.4,NA,-48.3,5,45,102.6,0,0,0,0,64,0,61,0,18.2,0,0,14,0.4,29.5,52.3,85.6,53,47,1,0,0,1,0.4,2,0,0,3,2,5,0,0,0,0,NA,NA,616,423.6,251.7,0,0,0,0,3.2,6.5,3.2,0.9,4,0,5,2,1,0,0,0,0,0,3,NA,56.5,12.8,30.9,3,36,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,21100,19,"88.1%",18590,27,"11.9%",2510,NA,"",NA,44,"100%",21098,37,"0%",2,NA,"",NA,NA,"",NA,NA,"",NA,26,"100%",21100,NA,"",NA,NA,"",NA,NA,"",NA,"93012",16.2,16.2,45,16.2
"295","93015
(34.40013353900048, -118.91721840999969)",1,"Ventura","Santa Barbara/Ventura",5,0,0,0,0,4,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,10,0,0,0,0,0,0,0,0,27.8,8.3,44.7,19.2,0,1,0,1,7,1,2,0,3,1,2.2,11,29,16,56,1,5.1,3.3,67,0,0,3,32,42,54,41,0,1,0,1,207.2,0,0,6.3,29,0,18.2,12.5,4,9,8,21,0.6,0,-364731,97477,-51091,-133225,-218683,-239149,170725,-41991,-472464,-461779,-9,2.1,-1.1,-2.7,-4.2,-4.4,3.2,-0.7,-7.9,-8,3,99,68.2,1,0,2,3,83,31,50,0,30,8.6,77.6,3.7,6.9,57.1,4.3,11.9,69,31,1,2,1,4,0.1,2,7,4,5,13,2,1,2,0,3,0,175.3,470.7,129.8,248.4,1,5,1,7,3.4,21.7,5.3,0.6,3,600,3.4,3,4,8,0,0,0,0,15,0,39.3,11.4,26.6,9,41,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,6958,19,"100%",6958,NA,"",NA,NA,"",NA,37,"100%",6958,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,26,"100%",6958,NA,"",NA,NA,"",NA,NA,"",NA,"93015",16.83,16.83,99,16.83
