"","nursing.zippop","nursing.just_zip"
"413",24276,"94546"
"414",18361,"94549"
"415",28621,"94550"
"416",27200,"94553"
"417",10128,"94556"
"418",34975,"94558"
"419",12177,"94559"
"420",12652,"94563"
"421",31136,"94565"
"422",24118,"94566"
"423",21614,"94577"
"424",15199,"94578"
"425",30719,"94587"
"426",12008,"94589"
"427",25957,"94591"
"428",12601,"94595"
"429",16787,"94598"
"430",2052,"94599"
"431",14987,"94601"
"432",16557,"94602"
"433",14603,"94606"
"434",12880,"94609"
"435",19051,"94610"
"436",26039,"94611"
"437",6997,"94612"
"438",13738,"94619"
"439",9223,"94621"
"440",11022,"94702"
"441",11796,"94704"
"442",10051,"94705"
"443",12586,"94803"
"444",15669,"94804"
"445",18810,"94806"
"446",18583,"94901"
"447",16903,"94903"
"448",7941,"94904"
"449",8126,"94920"
"450",19717,"94941"
"451",13589,"94947"
"452",18521,"94952"
"453",19400,"94954"
"454",22203,"95008"
"455",5574,"95010"
"456",26354,"95014"
"457",22147,"95020"
"458",21305,"95023"
"459",8736,"95030"
"460",14838,"95032"
"461",25017,"95035"
"462",22085,"95037"
"463",15100,"95050"
"464",7259,"95054"
"465",21791,"95062"
"466",19674,"95070"
"467",29257,"95076"
"468",19523,"95112"
"469",12358,"95116"
"470",10273,"95117"
"471",15377,"95121"
"472",25113,"95124"
"473",27521,"95125"
"474",21244,"95127"
"475",14052,"95128"
"476",16801,"95129"
"477",2073,"95202"
"478",5370,"95203"
"479",13166,"95204"
"480",19010,"95207"
"481",18917,"95209"
"482",13015,"95210"
"483",17682,"95240"
"484",14435,"95242"
"485",2197,"95249"
"486",14831,"95301"
"487",16588,"95307"
"488",5005,"95334"
"489",18428,"95336"
"490",12544,"95337"
"491",6462,"95338"
"492",16186,"95340"
"493",9280,"95341"
"494",11446,"95348"
"495",24990,"95350"
"496",28418,"95355"
"497",15436,"95356"
"498",3858,"95360"
"499",15424,"95361"
"500",8526,"95366"
"501",9006,"95367"
"502",16237,"95370"
"503",18282,"95376"
"504",15064,"95380"
"505",16740,"95382"
"506",20838,"95403"
"507",21809,"95404"
"508",12897,"95405"
"509",11905,"95407"
"510",16768,"95409"
"511",6482,"95422"
"512",5343,"95425"
"513",16,"95431"
"514",7954,"95437"
"515",9576,"95448"
"516",5825,"95453"
"517",18894,"95472"
"518",18618,"95476"
"519",14898,"95482"
"520",7734,"95490"
"521",11647,"95501"
"522",14001,"95503"
"523",10189,"95531"
"524",7188,"95540"
"525",1679,"95542"
"526",10300,"95602"
"527",15999,"95603"
"528",33635,"95608"
"529",20027,"95610"
"530",22199,"95616"
"531",13944,"95618"
"532",30119,"95624"
"533",24424,"95628"
"534",33815,"95630"
"535",12160,"95632"
"536",4156,"95642"
"537",25930,"95648"
"538",15936,"95661"
"539",22261,"95667"
"540",25058,"95670"
"541",29931,"95687"
"542",18714,"95688"
"543",17726,"95691"
"544",19121,"95695"
"545",3593,"95814"
"546",9614,"95816"
"547",6410,"95817"
"548",11660,"95819"
"549",19904,"95822"
"550",25111,"95823"
"551",8068,"95824"
"552",12647,"95825"
"553",24163,"95831"
"554",12304,"95838"
"555",8308,"95841"
"556",12385,"95901"
"557",19341,"95926"
"558",18444,"95928"
"559",3195,"95932"
"560",14236,"95945"
"561",4390,"95948"
"562",3922,"95953"
"563",15032,"95966"
"564",16675,"95969"
"565",3598,"95971"
"566",1558,"95987"
